84222,152102,18131,49114,68668,143041,25520,11530,18974,14169,56160,118335,39252,103126,17704,140658,77968,47702,18129,29636,0,38335,104661,58147,84375,86469,26868,38208,30602,93252,26179,49167,110128,57691,57686,30552,40194,45265,33757,38075,37732,116489,57049,87404,51454,45405,29902,21951,12015
61877,130160,22221,33473,40440,110643,13717,35178,21644,27706,27445,88471,71655,78635,49034,108260,50704,62235,31589,38579,38433,0,77397,29433,50370,64489,48406,64240,67893,65988,14306,75154,82864,83678,83673,25137,66747,81490,17238,37186,62215,89225,45858,73017,24297,31604,41027,59242,35196
39559,67322,90138,72933,74569,45666,86594,101872,90980,94401,72472,11953,135940,28229,110707,44430,27837,112513,95724,96388,105127,77913,0,74460,32545,29992,109419,125225,132966,14060,88887,137141,16666,138003,144359,86000,127732,145775,75444,95306,123200,18449,81598,65244,79799,78818,98075,124005,104396
75650,137785,40467,54031,13268,99548,39287,49831,39891,46353,2089,81242,88415,86260,51076,97165,57826,83576,38584,61350,58499,29419,74205,0,43812,73685,40077,62873,78059,67374,32950,95220,88682,103745,103739,28203,64409,87418,39265,22460,60848,90465,67199,86953,10973,52946,63798,64589,48460
40991,97578,68628,56305,44030,66774,62019,77993,68052,74059,41934,42730,116652,47598,82931,64390,22249,98572,67949,77100,84785,50724,32446,43921,0,36936,81644,97450,109915,25614,61112,117853,46923,121376,126372,58224,99957,122966,55102,64768,95425,48706,70685,61024,49888,61535,79548,96230,76621
10481,65509,72413,45539,75242,73442,70266,84147,73255,76676,72181,42919,113388,16619,98957,71059,16869,83402,91451,73835,87402,64923,30021,74169,37136,0,103437,116327,110414,19449,77289,110858,31376,110440,116796,81727,118834,123223,56899,92670,114302,35514,52487,36133,75526,51931,74316,105415,87547
100222,168791,34146,67949,49949,136066,41535,24906,34989,28998,41827,119302,48814,117266,13495,133683,88832,66538,19952,48472,26716,48267,109018,40164,81200,102598,0,21189,38242,102186,34280,69474,121145,78286,71257,23718,23696,46705,49772,17362,19164,125278,75885,106240,34830,64241,48738,22253,20047
113054,181264,47178,80982,72605,156633,54568,37939,48021,42031,64482,135266,33923,132288,18949,154249,104796,76585,35809,58841,38469,64124,124982,62820,97164,115631,21252,0,23351,118150,50137,54583,137109,63395,56366,40025,12549,32415,62804,40018,994,141242,85733,117675,57486,77274,58416,8073,33080
106336,174340,47738,71351,87971,169553,55128,41789,48581,43974,79781,144847,13971,125364,26935,167170,104480,57018,47090,47324,30940,67942,131173,78186,109745,108707,38151,23260,0,119764,55786,35148,136640,43961,36932,52605,19776,14248,61271,55385,24322,143001,74217,106159,72852,67643,46900,18817,41278
29534,73891,78821,61616,67723,54341,75277,90555,79664,83084,65627,27771,124623,22366,103861,51958,16520,101739,88878,85071,93810,66596,14096,67614,25700,19219,102574,118380,121649,0,79044,125824,22453,126687,133042,79154,120887,134458,64127,88461,116355,28814,70825,54471,72954,67502,86758,114619,93955
74204,142341,8104,44440,43637,120073,10711,22340,7528,15409,30642,98707,59358,90817,34807,117690,62885,55445,17362,37379,26136,14042,88423,32629,60605,76281,34179,50013,55596,78169,0,62858,95045,71382,71377,12999,52520,69193,25642,28922,47988,101406,56349,84615,26278,42096,37645,46945,20969
101302,175520,54563,64901,105587,174062,61953,56009,55406,53868,92592,149356,24449,127011,55200,171679,108988,32155,63493,45235,49159,74767,135681,94579,116923,110360,69421,54529,35164,124272,62611,0,140852,13571,9390,72814,50934,28498,66736,80595,55592,145906,58431,90373,88228,63456,41499,50107,57779
38932,59010,95555,75996,88817,54477,92012,107290,96398,99818,86721,20234,141358,18217,122100,54654,33255,113859,107836,101805,110545,83330,16488,88709,46794,31338,121531,137338,138383,22467,95779,141315,0,140897,147253,98112,139844,151193,80861,109055,135312,10138,82944,66590,91911,82388,103493,131354,110689
101023,175446,63189,64827,114213,176289,70579,64636,64032,62495,101218,151583,33289,126937,63826,173905,111215,32080,72119,47871,57786,83393,137908,103206,121292,110286,78260,63369,44004,126499,71237,12977,140778,0,15050,81440,59773,37337,73010,89221,64432,145832,58356,90299,96854,63382,41425,58947,66405
106996,181653,63402,71033,114426,182495,70791,64848,64245,62707,101430,157789,26213,133143,58459,180112,117422,38287,72332,54077,57998,83606,144115,103047,125762,116492,71185,56294,36929,132705,71450,9353,146984,14409,0,81652,52698,30262,75575,86908,57357,152038,64563,96505,97066,69588,47632,51872,66618
81225,144730,17661,53223,38112,116608,22011,22201,17084,22341,27176,95241,62760,93206,25422,114225,64771,65001,10439,46935,30774,24311,84958,28097,57140,80631,23701,39940,52405,78126,12354,72414,97085,80938,80933,0,42447,65456,36299,16305,37915,101217,66392,91858,20919,52138,47202,38720,20830
